#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
1456,30s,"30대 중반",Rusty Pickaxe,"녹슬고 손때가 탄 곡괭이",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Black Boots,"검은색 8홀 가죽 워커",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Millitary Backpack,"군용 밀리터리 백팩",Model,"모델",Deep Dawn,"헬리콥터 프로펠러 소리",Messy Club,"오전 3시",Propeller Sound,"사람이 너무 많았던 지저분한 클럽",Empty Cartridge,"탄피 몇 개"
1457,40s,"40대 후반",Green Paring Knife,"연두색 손잡이가 달린 과도",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Chess Patteren loafer,"체스판 무늬의 슬립온",High Ponytail,"장발을 높게 묶은 포니테일",Electronics Anklet,"전자 발찌",Mart Cashier,"마트 직원",Early Morning,"휘파람 소리",Deep Forest,"오전 6시",Whistle,"길을 찾을 수 없는 깊은 숲 속",Fibrous Tissues,"섬유 조직 몇 개"
1458,30s,"30대 중반",Wood Branch,"길이 1m의 나뭇가지",Cotton Zip Hoodie,"면 소재 트레이닝복",Cherry Colored Boots,"짙은 체리색 6홀 가죽 워커",Comma Hairstyle,"검은색 쉼표 머리",Engagement Ring,"네 번째 손가락에 반지",Lawyer,"변호사",Late Night,"삽으로 흙을 파는 소리",Convinience Store Table,"오후 9시",Digging With Shovel,"아파트 근처 편의점 앞 테이블",Women`s Underwear,"여자 속옷"
1459,20s,"20대 초반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Brown Wool Coat,"짙은 갈색의 울 코트",White Platform Sneakers,"키높이 흰색 스니커즈",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Sanitation Worker,"환경미화원",Night,"고양이 우는 소리",Night Mountain,"오후 6시",Cat Meow,"야산 깊은 곳",Used Toilet Paper,"사용한 휴지 몇 장"
1460,40s,"40대 후반",Rusty Hammer,"검은색 고무 손잡이가 달린 녹슨 쇠 망치",Jersey Zip Hoodie,"저지 소재 트레이닝복",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Chocker Necklace,"초커",Janitor,"경비원",Late Night,"에어컨 조작 소리",Luxury Club,"오후 9시",Remote Air Conditioner,"간판 없는, 고층에 위치한 회원제 클럽",Bullet,"총알 1개"
1461,30s,"30대 중반",Broken Beer Bottle,"깨진 500ML 갈색 맥주병",Jersey Zip Hoodie,"저지 소재 트레이닝복",Black Converse,"검은색 컨버스 운동화",Low Ponytail,"장발의 낮게 묶은 포니테일",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Chef,"요리사",Late Night,"핸드폰 알람 소리",Closed Amusement Park,"오후 9시",Phone Alarm Ringing,"넓은 공원의 폐장된 유원지",Black Hair,"검정색 머리카락"
1462,60s,"60대 중반",Venomous Snake Cage,"독사가 든 케이지",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Long Bleached hair,"장발의 탈색모",Black Backpack,"검은색 백팩",Athletic Trainer,"스포츠 트레이너",Morning,"휘파람 소리",Motel in Downtown,"오전 9시",Whistle,"번화가에 위치한 빌딩 7층의 모텔",Black Vinyl Bag,"검은 비닐 봉지"
1463,30s,"30대 중반",Aluminum Baseball Bat,"알루미늄 재질의 주황색 야구 배트",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",Red Converse,"빨간색 컨버스 운동화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Black Disposable Mask,"검정색 일회용 마스크",Soldier,"군인",Deep Dawn,"물이 흐르는 소리",Big Old Arboretum,"오전 3시",Water Flowing Sound,"개원한 지 30년 된 오래되고 넓은 수목원",Weapon With Fingerprint,"알 수 없는 지문이 묻어 있었던 그 흉기"
1464,40s,"40대 후반",Transparent Vodka Bottle,"투명한 500ML 보드카 병",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Long Hair,"어깨선을 넘는 장발",Millitary Backpack,"군용 밀리터리 백팩",Mart Cashier,"마트 직원",Late Night,"마우스 클릭 소리",Major Bank,"오후 9시",Computer Mouse Clicking,"번화가에 위치한 대형 은행",Skid Mark,"타이어 자국"
1465,40s,"40대 후반",Rusty Pickaxe,"녹슬고 손때가 탄 곡괭이",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Eyebrow Piercing,"눈썹 피어싱",Hotel Receptionist,"호텔 접수원",Morning,"손 관절을 꺾는 소리",Convinience Store Table,"오전 9시",Crack Knuckles,"아파트 근처 편의점 앞 테이블",Crumpled Cigarette Package,"구겨진 담배갑"
1466,30s,"30대 중반",Beer Bottle,"깨지지 않은 500ml 갈색 맥주병",Green Hiking Jacket,"연두색/회색 배색의 등산복",Black Low Sneakers,"검은색 낮은 운동화",Dandy Hairstyle,"검은색 댄디 컷",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Doctor,"의사",Morning,"마우스 클릭 소리",Messy Goshiwon,"오전 9시",Computer Mouse Clicking,"관리가 되지 않아 더러운 고시원",Footprint 240mm Loper,"240mm 정도의 단화 발자국"
1467,40s,"40대 후반",Surgical Blade,"날카로운 의료용 메스",Old Leather Jacket,"아주 오래되어 낡은 검은색 가죽 라이더 자켓",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Millitary Backpack,"군용 밀리터리 백팩",Professor,"교수",Early Morning,"바닥에 침을 뱉는 소리",Inside Taxi,"오전 6시",Spit On Ground,"택시 안",Maggot,"이제 막 태어난 작은 구더기"
1468,30s,"30대 중반",Teracotta Pot,"흙으로 꽉 찬 7kg 토분",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Black Leather Loafer,"검은색 무광 가죽 로퍼",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Hand Prothetics,"의수",Firefighter,"소방관",Early Morning,"비명 소리",Old Snack Bar,"오전 6시",Screaming,"학교 앞 분식집",Footprint 245mm Highheels,"245mm 정도의 하이힐 발자국"
1469,20s,"20대 초반",Bottle of Propofol,"프로포폴 약병",Luxury Brown Shearing,"명품 브랜드의 옅은 갈색 무스탕",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Bob Hair,"단발",Engagement Ring,"네 번째 손가락에 반지",Engineer,"연구원",Night,"새 우는 소리",Inn Near Brothel,"오후 6시",Birds Singing,"홍등가 한복판에 위치한 낡은 여관",Used Toilet Paper,"사용한 휴지 몇 장"
1470,30s,"30대 중반",Golf Club,"4번 아이언 골프 클럽",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Dandy Hairstyle,"검은색 댄디 컷",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Banker,"은행원",Late Night,"고속도로 자동차 소리",Messy Dumpster Alley,"오후 9시",Cars On Highway,"원룸촌의 더러운 분리수거장",Crumpled Cigarette Package,"구겨진 담배갑"
1471,20s,"20대 초반",Duct Tape,"청테이프",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Red Football Boots,"빨간색/검은색 배색의 축구화",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Black Backpack,"검은색 백팩",Janitor,"경비원",Late Night,"마우스 클릭 소리",Blackout Parking Lot,"오후 9시",Computer Mouse Clicking,"정전된 아파트 지하주차장",Written In Blood,"핏자국으로 그린 표식"
1472,40s,"40대 후반",Blue Plastic Nipper,"파란색 손잡이가 달린 니퍼",Jersey Zip Hoodie,"저지 소재 트레이닝복",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Hand Prothetics,"의수",Sanitation Worker,"환경미화원",Early Morning,"손가락 튕기는 소리",SUV Passenger Seat,"오전 6시",Finger Snap,"검은색 SUV 차량 앞좌석",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
1473,20s,"20대 초반",Wodden Handle Shovel,"손때 묻은 나무 손잡이 삽",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Black Low Sneakers,"검은색 낮은 운동화",Long Permed Hair,"장발의 파마머리",Electronics Anklet,"전자 발찌",Janitor,"경비원",Early Morning,"네온사인 간판 소리",Old Studio Apartment,"오전 6시",Neon Sign Noise,"원룸촌에 위치한 낡은 원룸",Light Brown Hair,"밝은 갈색의 머리카락"
1474,20s,"20대 초반",Female Stocking,"여성용 커피색 스타킹",Yellow Short Cardigan,"노란색 짧은 니트 가디건",White Platform Sneakers,"키높이 흰색 스니커즈",Short Hair,"숏컷",Eyebrow Piercing,"눈썹 피어싱",Photographer,"포토그래퍼",Around Midnight,"칠판을 손톱으로 긁는 소리",Cafe Terrace,"밤 12시",Chalkboard Scraping,"1층 프랜차이즈 카페의 테라스",Written In Blood,"핏자국으로 그린 표식"
1475,40s,"40대 후반",Police Nightstick,"검은색 경찰 곤봉",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",Ochre Leather Loper,"황토색 가죽 로퍼",Pixie Cut,"앞머리가 있는 단정한 숏컷",Tennis Wristband,"스포츠 손목 보호대",Actor,"배우",Late Night,"강아지 짖는 소리",Small Theater Onstage,"오후 9시",Dog Barking,"대학로의 실내 소극장 무대 위",Body Hair,"체모"
1476,30s,"30대 중반",Rusty Hammer,"검은색 고무 손잡이가 달린 녹슨 쇠 망치",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Bob Hair,"단발",Millitary Backpack,"군용 밀리터리 백팩",Sanitation Worker,"환경미화원",Night,"에어컨 조작 소리",Convinience Store Table,"오후 6시",Remote Air Conditioner,"아파트 근처 편의점 앞 테이블",Women`s Underwear,"여자 속옷"
1477,40s,"40대 후반",Wodden Handle Shovel,"손때 묻은 나무 손잡이 삽",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Dandy Hairstyle,"검은색 댄디 컷",Stud Earrings,"귀에 딱 붙는 귀걸이",Guard,"경호원",Late Night,"부채 소리",University Hospital,"오후 9시",Fan Sound,"역 주변에 위치한 대형 대학병원",Light Brown Hair,"밝은 갈색의 머리카락"
1478,30s,"30대 중반",Wrapped Knife,"신문지로 싼 식칼",Cotton Zip Hoodie,"면 소재 트레이닝복",Red Football Boots,"빨간색/검은색 배색의 축구화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Chef,"요리사",Deep Dawn,"마우스 클릭 소리",Self Service Bar,"오전 3시",Computer Mouse Clicking,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
1479,20s,"20대 초반",Green Paring Knife,"연두색 손잡이가 달린 과도",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",Black Low Sneakers,"검은색 낮은 운동화",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Engineer,"연구원",Late Night,"가방 안 물건들이 흔들리는 소리",Female Outfit Outlet,"오후 9시",Backpack Stuff Shaking,"아울렛 몰의 3층 여성복 코너",Empty Cartridge,"탄피 몇 개"
1480,40s,"40대 후반",Wood Branch,"길이 1m의 나뭇가지",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Blue Football Boots,"파란색/노란색 배색의 축구화",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Janitor,"경비원",Late Night,"전기톱 소리",Old Guest House,"오후 9시",Sound of Chainsaw,"계곡가에 위치한, 노인이 운영하는 민박",Fly,"파리 시체 한 마리"
1481,20s,"20대 초반",Yellow Box Cutter,"노란색 공업용 커터칼",White Tshirt,"흰색 무지 반팔",White Platform Sneakers,"키높이 흰색 스니커즈",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Engineer,"연구원",Morning,"파도 소리",Karaoke Underground,"오전 9시",Sound of Wave,"지하 1층의 노래방",Black Hair,"검정색 머리카락"
1482,40s,"40대 후반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Red Converse,"빨간색 컨버스 운동화",Bald Hair,"대머리",Electronics Anklet,"전자 발찌",Soldier,"군인",Night,"벽에 부딪히는 소리",Greek Style Pension,"오후 6시",Beat Against Wall,"바닷가에 위치한 그리스식 인테리어 펜션",Used Toilet Paper,"사용한 휴지 몇 장"
1483,60s,"60대 중반",Metal Pipe,"70cm 정도 되는 쇠 파이프",Undershirt,"흰색 런닝 셔츠",Ivory Converse,"아이보리색 컨버스 운동화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Nurse,"간호사",Night,"망치질 소리",Dormitory High School,"오후 6시",Hammering Sound,"기숙사가 있는 자율형 사립고등학교",Used Toilet Paper,"사용한 휴지 몇 장"
1484,40s,"40대 후반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",Black Boots,"검은색 8홀 가죽 워커",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Mart Cashier,"마트 직원",Late Afternoon,"망치질 소리",Inside Camping Car,"오후 3시",Hammering Sound,"커스텀 캠핑카 안",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
1485,50s,"50대 초반",Wooden Cane,"원목으로 만들어진 나무 지팡이",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",White Basketball Shoes,"흰색 농구화",Cherry Red Hair,"체리 레드 염색머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Janitor,"경비원",Late Night,"부채 소리",Inn Near Brothel,"오후 9시",Fan Sound,"홍등가 한복판에 위치한 낡은 여관",Maggot,"이제 막 태어난 작은 구더기"
1486,60s,"60대 중반",Sulfuric Acid,"황산",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",White Basketball Shoes,"흰색 농구화",Long Bleached hair,"장발의 탈색모",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Cleaner,"청소부",Night,"망치질 소리",Hostel (Normal Dorm),"오후 6시",Hammering Sound,"세계 각국의 여행자가 머무르는 호스텔",Metal Fragments,"금속 파편"
1487,20s,"20대 초반",Yellow Box Cutter,"노란색 공업용 커터칼",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Black Low Sneakers,"검은색 낮은 운동화",Short Hair,"숏컷",Charm Earrings,"장식이 있는 귀걸이",Carpenter,"목수",Late Night,"날붙이가 떨어지는 소리",Lecture Hall,"오후 9시",Cutlery Falling down,"대학교 건물 안 강의실",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
1488,40s,"40대 후반",Jute Twine,"갈색 노끈",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Bare Foot,"그냥 맨발",Mid-long Straight Hair,"중단발의 검은 생머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Sanitation Worker,"환경미화원",Late Night,"목재 둔기가 떨어지는 소리",Messy Dumpster Alley,"오후 9시",Wooden Weapon Falling,"원룸촌의 더러운 분리수거장",Black Hair,"검정색 머리카락"
1489,40s,"40대 후반",Blue Plastic Nipper,"파란색 손잡이가 달린 니퍼",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Ivory Converse,"아이보리색 컨버스 운동화",Mid-long Straight Hair,"중단발의 검은 생머리",Millitary Backpack,"군용 밀리터리 백팩",Soldier,"군인",Early Morning,"런닝머신 돌아가는 소리",Amusement Park Pillar,"오전 6시",Running Treadmill,"사람으로 늘 붐비는 실내 놀이공원의 기둥 앞",Paint Stain,"페인트 자국"
1490,30s,"30대 중반",Walther PPK .32ACP,"장식용 32구경 PPK 독일제",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Mid-long Straight Hair,"중단발의 검은 생머리",Engagement Ring,"네 번째 손가락에 반지",Director,"연출가",Deep Dawn,"핸드폰 알람 소리",Passenger Seat,"오전 3시",Phone Alarm Ringing,"검정색 중형 세단의 조수석",Excrements,"누가 쌌는지 모를 배설물"
1491,40s,"40대 후반",Wrapped Blowfish Sashimi,"포장된 복어회",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Engineer,"연구원",Morning,"헬리콥터 프로펠러 소리",Old Studio Apartment,"오전 9시",Propeller Sound,"원룸촌에 위치한 낡은 원룸",Light Brown Hair,"밝은 갈색의 머리카락"
1492,40s,"40대 후반",Golf Club,"4번 아이언 골프 클럽",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Ochre Leather Loper,"황토색 가죽 로퍼",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Millitary Backpack,"군용 밀리터리 백팩",Sanitation Worker,"환경미화원",Night,"변기 물 내리는 소리",Semi Basement Apartment,"오후 6시",Toilet Flush Sound,"쇠창살 달린 창문이 있는 반지하 원룸",Used Toilet Paper,"사용한 휴지 몇 장"
1493,50s,"50대 초반",Wrapped Blowfish Sashimi,"포장된 복어회",Logo Printed Sweatshirt,"유명 브랜드 로고가 프린트되어 있는 회색 맨투맨",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Cleaner,"청소부",Early Morning,"TV 속 스포츠 방송 중계 소리",Self Service Bar,"오전 6시",TV Sports Commentaries,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Irregular Footprints,"알 수 없는 패턴의 발자국"
1494,30s,"30대 중반",Walther PPK ,"검은색 발터 PPK 권총",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Long Layered Hair,"장발의 레이어드 컷",Drop earrings,"아주 긴 드롭형 귀걸이",Director,"연출가",Late Night,"턱 관절이 어긋나는 소리",Karaoke Underground,"오후 9시",Twisting Jaw joint,"지하 1층의 노래방",Puppa Maggot,"번데기 상태의 구더기"
1495,50s,"50대 초반",Vintage Straight Razor,"날이 잘 벼려진 구식 면도칼",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",White Platform Sneakers,"키높이 흰색 스니커즈",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Sanitation Worker,"환경미화원",Late Night,"망치질 소리",SUV Back Seats,"오후 9시",Hammering Sound,"검은색 SUV 차량 뒷좌석",Skid Mark,"타이어 자국"
1496,50s,"50대 초반",Packing Strap,"포장용 빨간색 비닐끈",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Sanitation Worker,"환경미화원",Late Night,"무언가를 자르는 소리",University Hospital,"오후 9시",Cutting Something,"역 주변에 위치한 대형 대학병원",Glass Fragments,"유리 파편"
1497,30s,"30대 중반",Wooden Baseball Bat,"밝은 갈색의 나무 야구 배트",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Leg Prosthetics,"의족",Mechanic,"정비공",Morning,"파이프를 벽에 부딪치는 소리",Messy Club,"오전 9시",Pipe Hitting Wall,"사람이 너무 많았던 지저분한 클럽",Bloodstained Everywhere,"혈액이 튄 벽지와 바닥"
1498,40s,"40대 후반",Machine Gun K15,"기관총 K15",Khaki Tshirt,"카키색 무지 맨투맨",Red Football Boots,"빨간색/검은색 배색의 축구화",Short Hair,"숏컷",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Mart Cashier,"마트 직원",Deep Dawn,"거센 바람 소리",Passenger Seat,"오전 3시",Strong Wind,"검정색 중형 세단의 조수석",Irregular Footprints,"알 수 없는 패턴의 발자국"
1499,20s,"20대 초반",Red Brick,"붉은색 벽돌",Purple Short Cardigan,"짙은 보라색의 짧은 니트 가디건",Skyblue Flip Flop,"하늘색 쪼리",Long Permed Hair,"장발의 파마머리",Engagement Ring,"네 번째 손가락에 반지",Hair Designer,"미용사",Late Night,"턱 관절이 어긋나는 소리",Lecture Hall,"오후 9시",Twisting Jaw joint,"대학교 건물 안 강의실",Women`s Underwear,"여자 속옷"
1500,60s,"60대 중반",Wrapped Knife,"신문지로 싼 식칼",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Ochre Leather Loper,"황토색 가죽 로퍼",Long Layered Hair,"장발의 레이어드 컷",Black Backpack,"검은색 백팩",Hotel Receptionist,"호텔 접수원",Late Night,"네온사인 간판 소리",Karaoke Underground,"오후 9시",Neon Sign Noise,"지하 1층의 노래방",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
1501,40s,"40대 후반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Black Converse,"검은색 컨버스 운동화",High Ponytail,"장발을 높게 묶은 포니테일",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Engineer,"연구원",Night,"철제 둔기가 떨어지는 소리",Inside Taxi,"오후 6시",Metal Weapon Falling,"택시 안",Scorch Mark,"불에 그슬린 자국"
1502,50s,"50대 초반",Blue Plastic Nipper,"파란색 손잡이가 달린 니퍼",Brown Wool Coat,"짙은 갈색의 울 코트",Black Low Sneakers,"검은색 낮은 운동화",Long Brown hair,"장발의 밝은 갈색 염색머리",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Hotel Receptionist,"호텔 접수원",Deep Dawn,"가스레인지를 켜는 소리",Town Hall,"오전 3시",Gas Range On,"시골 마을의 마을 회관",Fingerprints,"지문 몇 점"
1503,70s,"70대 후반",Water,"물",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Dandy Hairstyle,"검은색 댄디 컷",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Athletic Trainer,"스포츠 트레이너",Morning,"헬리콥터 프로펠러 소리",Motel in Downtown,"오전 9시",Propeller Sound,"번화가에 위치한 빌딩 7층의 모텔",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
1504,50s,"50대 초반",Gasoline With Zippo,"휘발유와 지포 라이터",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Black Converse,"검은색 컨버스 운동화",Comma Hairstyle,"검은색 쉼표 머리",Silver Stainless Ring,"은색 써지컬 반지",Janitor,"경비원",Late Night,"플라스틱이 서로 부딪치는 소리",School Reunions,"오후 9시",Plastic Beating Sound,"지하 술집에서 열린 동창회",Weapon Without Fingerprint,"지문이 발견되지 않은 그 흉기"
1505,60s,"60대 중반",Wood Branch,"길이 1m의 나뭇가지",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Black Dress Shoes,"검은색 유광 정장 구두",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Janitor,"경비원",Late Night,"손가락 튕기는 소리",Small Theater Onstage,"오후 9시",Finger Snap,"대학로의 실내 소극장 무대 위",Black Hair,"검정색 머리카락"
1506,20s,"20대 초반",Submachine Gun AR-18,"기관단총 AR-18",Brown Wool Coat,"짙은 갈색의 울 코트",Red Football Boots,"빨간색/검은색 배색의 축구화",High Ponytail,"장발을 높게 묶은 포니테일",Stud Earrings,"귀에 딱 붙는 귀걸이",Sanitation Worker,"환경미화원",Late Night,"강아지 짖는 소리",Karaoke Underground,"오후 9시",Dog Barking,"지하 1층의 노래방",Black Hair,"검정색 머리카락"
1507,30s,"30대 중반",Iron Coping Saw,"쇠 손잡이의 무거운 줄톱",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Red Converse,"빨간색 컨버스 운동화",Long Hair,"어깨선을 넘는 장발",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Soldier,"군인",Late Night,"손 관절을 꺾는 소리",Messy Goshiwon,"오후 9시",Crack Knuckles,"관리가 되지 않아 더러운 고시원",Nail Tips,"네일팁 몇 개"
1508,20s,"20대 초반",Submachine Gun AR-18,"기관단총 AR-18",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Ivory Converse,"아이보리색 컨버스 운동화",Long Curly Hair,"장발의 곱슬머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Soldier,"군인",Morning,"망치질 소리",Dumpster,"오전 9시",Hammering Sound,"전국의 쓰레기들을 처리하는 쓰레기장",Used Toilet Paper,"사용한 휴지 몇 장"
1509,50s,"50대 초반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Thigh High Wellies,"허벅지까지 오는 고무 장화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Silver Stainless Ring,"은색 써지컬 반지",Chef,"요리사",Late Night,"망치질 소리",Major Bank,"오후 9시",Hammering Sound,"번화가에 위치한 대형 은행",Irregular Footprints,"알 수 없는 패턴의 발자국"
1510,40s,"40대 후반",Rusty Sickle,"녹슨 나무 손잡이 낫",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Black Converse,"검은색 컨버스 운동화",Dandy Hairstyle,"검은색 댄디 컷",Silver Stainless Ring,"은색 써지컬 반지",Carpenter,"목수",Late Night,"파도 소리",Big Old Arboretum,"오후 9시",Sound of Wave,"개원한 지 30년 된 오래되고 넓은 수목원",Black Button,"검정색 단추"
1511,40s,"40대 후반",Bottle of Propofol,"프로포폴 약병",Brown Wool Coat,"짙은 갈색의 울 코트",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Model,"모델",Night,"망치질 소리",Messy Goshiwon,"오후 6시",Hammering Sound,"관리가 되지 않아 더러운 고시원",Skid Mark,"타이어 자국"
